solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
gready-single-core,1,0.900071111,86.5390625,77.9765625,1211,112,977d6ebd10a76ac3
gready-single-core,1,0.254896204,69.9375,69.9375,231,91,fa1c4e84c10e624e
gready-single-core,1,0.079327527,69.0234375,69.0234375,79,74,f0cef9d572c00159
gready-single-core,0,221.34899255,1336.93359375,742.9889590468036,300000,0,54018c65e6a4543f
gready-single-core,1,2.741654091,126.7421875,88.5234375,3630,127,d1245531c0a6c993
gready-single-core,1,0.183520686,137.55859375,137.55859375,548,86,2cea7d608954e91e
gready-single-core,1,1.643725421,76.69921875,73.94921875,3841,92,81d7a781823119d8
gready-single-core,1,7.47273839,224.28125,127.68515625,6180,148,9ac52423e9c526e7
gready-single-core,1,0.464143838,61.046875,61.046875,708,106,a4db3be3d28afe98
gready-single-core,1,0.11523525,60.46484375,60.46484375,135,93,e6ae7f4e13ad5825
gready-single-core,1,0.583706603,61.046875,61.046875,1074,99,cb93f015eedfa4ec
gready-single-core,1,97.506006265,1897.53515625,538.0074084051724,164748,112,9aedbe295fa95a65
gready-single-core,1,0.221147632,77.49609375,77.49609375,287,117,187041f361180942
gready-single-core,1,0.53419695,78.0390625,78.0390625,684,99,6ce5c9af4380a924
gready-single-core,1,0.149512224,77.21875,77.21875,123,91,4b5f9e2ef41b464a
gready-single-core,1,0.077593303,76.64453125,76.64453125,92,76,3bfc6e31f9623d9c
gready-single-core,1,6.524590588,167.81640625,107.48828125,10029,109,1ef50ba7c4bec558
gready-single-core,1,0.743689898,81.63671875,81.63671875,1140,104,70fe1f023229d326
gready-single-core,1,6.078993761,184.5234375,115.35498046875,7826,144,24aaeb05268b92ef
gready-single-core,1,41.050958177,745.125,342.047607421875,65056,131,ecf36ac05e4d412a
gready-single-core,1,162.631428787,2293.53515625,708.2480678763441,257953,155,c1b7d2797f6320e8
gready-single-core,1,0.111721365,83.8671875,83.8671875,119,86,7345ef9a658b1765
gready-single-core,1,29.307678623,529.90234375,231.3580357142857,38184,133,943a172b0ddc1da5
gready-single-core,1,0.197528503,132.375,132.375,277,112,30f6459545fb65c8
